county,district,section,number,xcenter,ycenter
桃園市,楊梅區,高榮段,396,121.15234839754,24.945630553138002
桃園市,新屋區,東勢段甲頭厝小段,558,121.08375089380999,24.975719778804
桃園市,新屋區,石磊子段水流小段,1404,121.07561989294,24.997186915903498
桃園市,新屋區,下田心子段赤牛欄小段,419-1,121.076491191455,24.9934659768415
桃園市,楊梅區,員笨段,311,121.101330625565,24.948084315659003
桃園市,新屋區,啟文段,57,121.19596014057001,25.0047725802685
桃園市,新屋區,十五間段十五間小段,1197,121.060690834995,24.9469683196015
桃園市,平鎮區,平安段,591,121.2111506581,24.9213443823955
桃園市,大園區,橫山段湳子小段,166-50,121.210073608225,25.0561878431025
桃園市,大園區,五塊厝段大埔小段,1275,121.24056851699001,25.0200323306995
桃園市,蘆竹區,南崁下段,695-1,121.27819436988,25.0395641255665
桃園市,大園區,橫山段尖山小段,103-35,121.20998778184,25.041770883730997
桃園市,桃園區,桃園段公館頭小段,14-11,121.31230682642,24.996136308409
桃園市,觀音區,新張段,1307,121.13354352279,25.015572309757502
桃園市,中壢區,月眉段,1294-2,121.182063372435,25.0258412048595
桃園市,中壢區,興和段,464,121.21939219699999,24.9787819885625
桃園市,新屋區,下田心子段赤牛欄小段,422,121.07666040878999,24.9931868439845
桃園市,新屋區,新屋段後湖小段,2040,121.087967055315,24.9799820844385
桃園市,楊梅區,伯公岡段,223-418,121.07761618402,24.934070234175
桃園市,楊梅區,新明段,961,121.078026111845,24.9346812788145
桃園市,大溪區,三層段坑底小段,15,121.30740992829999,24.892570042892
桃園市,中壢區,雙嶺段,686-13,121.159941445025,24.964829715271
桃園市,蘆竹區,南崁下段,559-1,121.285279481555,25.0440287596515
桃園市,大園區,竹圍段海方厝小段,204,121.238815516595,25.102458311690498
桃園市,大園區,圳股頭段圳股頭小段,66,121.207992105765,25.079896316617997
桃園市,大園區,橫山段湳子小段,515,121.20241521380001,25.062588448668997
桃園市,大園區,橫山段橫山小段,39-10,121.21339978483,25.026912522748
桃園市,大園區,埔心段海豐坡小段,231,121.224561095545,25.05443559171
桃園市,大園區,埔心段埔心小段,1687,121.215528994045,25.0449947340105
桃園市,八德區,中華段,427,121.10940472572,24.9669042646185
桃園市,楊梅區,楊梅段,170-210,121.14770503814,24.9056100258705
桃園市,觀音區,草漯段,1163-34,121.13710279955501,25.0690422502145
桃園市,中壢區,富強段,426-1,121.24934702837,24.9432852117095
桃園市,中壢區,內厝段,237,121.18860714833,25.005776035443
桃園市,中壢區,青芝段,96,121.208322179535,25.00116886934
桃園市,中壢區,三座屋段舊社小段,40-35,121.217061617345,24.966789989943003
桃園市,觀音區,大潭段塘背小段,1448-2,121.067172876505,25.0282199733525
桃園市,觀音區,大潭段塘背小段,1448-4,121.06697654084499,25.028190357351
桃園市,中壢區,大江段,510-2,121.219725277215,24.995060109283
桃園市,桃園區,昆明段,619,121.31020023839,24.982588674524
桃園市,龍潭區,干城段,278,121.211517755575,24.8750480937575
桃園市,大溪區,三層段坑底小段,729-4,121.32363704722499,24.874181477282
桃園市,楊梅區,永福段,1529-21,121.14824497669,24.900874920933
桃園市,楊梅區,永福段,1529-22,121.148199470075,24.900862368839498
桃園市,楊梅區,永福段,1042-9,121.14815328808,24.9009379119045
桃園市,楊梅區,永福段,1042-10,121.147796064045,24.900896863701
桃園市,楊梅區,幼獅段,1458,121.181665743935,24.922130076408997
桃園市,楊梅區,新明段,1016,121.07873766475501,24.934555925757998
桃園市,桃園區,中路段,763,121.283577142995,25.003369716666
桃園市,桃園區,富國段,1104,121.2943417412,25.014816648388
桃園市,桃園區,長安段,171,121.301679454675,25.003541406572502
桃園市,桃園區,桃圳段,119,121.287538529635,24.9736762092435
桃園市,中壢區,大享段,126,121.18238858820001,24.980093199724
桃園市,中壢區,大享段,381,121.181083073875,24.9785135483475
桃園市,中壢區,大享段,389-4,121.180957120165,24.9781157568015
桃園市,中壢區,大享段,401,121.181359258385,24.977104404699503
桃園市,中壢區,山上段,109,121.17508339535,25.006704675102
桃園市,中壢區,普仁段,1042,121.248920318495,24.9448294046705
桃園市,中壢區,月眉段,271,121.19255088305499,25.015337494367
桃園市,觀音區,廣興段,631,121.094049296165,25.033331256319002
桃園市,觀音區,藍埔段,33,121.1203107213,24.999370184398
桃園市,中壢區,三座屋段舊社小段,18-86,121.21422924015499,24.973482385587
桃園市,中壢區,三座屋段舊社小段,127,121.213674448145,24.960031045244
桃園市,龍潭區,銅鑼圈段,455,121.21545763348499,24.821874962174498
桃園市,龍潭區,大湖段,643,121.16114451871,24.976554760401
桃園市,龍潭區,大湖段,658,121.159693176605,24.976642961073
桃園市,龍潭區,三元段,7,121.326008260465,25.0081878219375
桃園市,龍潭區,九座寮段,317-176,121.239031288015,24.868049173937003
桃園市,新屋區,十五間段十五間小段,603,121.06899309387,24.9557995856645
桃園市,新屋區,崁頭厝段下庄子小段,28-2,121.03730672217,24.9880316708655
桃園市,新屋區,崁頭厝段下庄子小段,645,121.03661043972,24.990623825701
桃園市,楊梅區,頭重溪段,39-146,121.16981290807999,24.910800212898998
桃園市,新屋區,大坡段大坡小段,1050,121.05170188635,24.958722541473
桃園市,平鎮區,關爺段,375,121.21832858716499,24.934713100148
桃園市,平鎮區,東勢段金雞湖小段,112,121.22726227781999,24.895577921442
桃園市,八德區,大興段,425,121.31062156237999,25.0147153896625
桃園市,八德區,廣隆段,41-1,121.283342255825,24.967393920459003
桃園市,八德區,八塊段,76-356,121.301040425065,24.932175293106
桃園市,大園區,橫山段尖山小段,51-4,121.21050668464,25.043873061499
桃園市,大園區,橫山段尖山小段,101-6,121.208725948515,25.043333829605
桃園市,蘆竹區,南青段,290,121.263015329415,25.049516243744
桃園市,蘆竹區,山鼻段,61,121.29029096790501,25.0814325396615
