year,month,group_center,refer_point1,refer_point2,refer_point3,refer_point4,group
2016,10,0.0,2.0,5.0,2.0,0.0,2
2016,11,0.0,0.0,3.0,2.0,1.0,2
2016,12,0.0,1.0,3.0,0.0,0.0,2
2017,1,0.0,2.0,1.0,0.0,3.0,2
2017,2,1.0,1.0,2.0,2.0,0.0,2
2017,3,0.0,1.0,2.0,2.0,2.0,2
2017,4,1.0,1.0,1.0,4.0,1.0,2
2017,5,2.0,0.0,2.0,2.0,0.0,2
2017,6,0.0,0.0,1.0,2.0,3.0,2
2017,7,0.0,0.0,2.0,0.0,0.0,2
2017,8,1.0,2.0,0.0,1.0,0.0,2
2017,9,0.0,2.0,0.0,1.0,0.0,2
2017,10,0.0,0.0,1.0,0.0,1.0,2
2017,11,0.0,0.0,2.0,2.0,3.0,2
2017,12,0.0,0.0,4.0,1.0,0.0,2
2018,1,2.0,0.0,4.0,1.0,0.0,2
2018,2,0.0,0.0,0.0,0.0,0.0,2
2018,3,1.0,0.0,1.0,1.0,1.0,2
2018,4,0.0,0.0,2.0,1.0,1.0,2
2018,5,1.0,2.0,1.0,2.0,2.0,2
2018,6,1.0,1.0,8.0,3.0,2.0,2
2018,7,0.0,2.0,5.0,2.0,0.0,2
2018,8,1.0,0.0,7.0,0.0,3.0,2
2018,9,0.0,0.0,3.0,2.0,1.0,2
2018,10,2.0,3.0,4.0,0.0,1.0,2
2018,11,0.0,1.0,3.0,1.0,2.0,2
2018,12,0.0,0.0,3.0,0.0,1.0,2
2019,1,0.0,2.0,1.0,5.0,0.0,2
2019,2,1.0,0.0,4.0,3.0,0.0,2
2019,3,0.0,1.0,4.0,1.0,0.0,2
2019,4,1.0,1.0,3.0,3.0,2.0,2
2019,5,0.0,1.0,4.0,1.0,4.0,2
2019,6,1.0,0.0,6.0,4.0,1.0,2
2019,7,1.0,0.0,5.0,1.0,3.0,2
2019,8,4.0,0.0,1.0,0.0,1.0,2
2019,9,3.0,2.0,1.0,2.0,2.0,2
2019,10,2.0,0.0,3.0,0.0,4.0,2
2019,11,2.0,1.0,0.0,1.0,0.0,2
2019,12,1.0,0.0,2.0,4.0,1.0,2
2020,1,0.0,0.0,3.0,0.0,0.0,2
2020,2,2.0,0.0,1.0,3.0,3.0,2
2020,3,1.0,6.0,0.0,3.0,1.0,2
2020,4,3.0,1.0,8.0,1.0,0.0,2
2020,5,0.0,2.0,1.0,3.0,3.0,2
2020,6,0.0,8.0,7.0,8.0,5.0,2
2020,7,3.0,8.0,0.0,3.0,4.0,2
2020,8,2.0,8.0,1.0,4.0,10.0,2
2020,9,0.0,4.0,2.0,2.0,1.0,2
2020,10,2.0,3.0,6.0,4.0,3.0,2
2020,11,2.0,6.0,1.0,1.0,5.0,2
2020,12,3.0,4.0,5.0,6.0,7.0,2
2021,1,0.0,5.0,0.0,3.0,3.0,2
2021,2,1.0,2.0,1.0,0.0,0.0,2
2021,3,1.0,2.0,0.0,2.0,2.0,2
2021,4,2.0,5.0,2.0,2.0,4.0,2
2021,5,2.0,3.0,8.0,0.0,3.0,2
2021,6,4.0,1.0,6.0,3.0,3.0,2
2021,7,3.0,1.0,9.0,3.0,2.0,2
2021,8,5.0,3.0,7.0,2.0,1.0,2
2021,9,2.0,4.0,10.0,3.0,5.0,2
2021,10,1.0,3.0,2.0,4.0,3.0,2
2021,11,2.0,1.0,2.0,3.0,1.0,2
2021,12,2.0,4.0,3.0,1.0,2.0,2
2022,1,2.0,1.0,1.0,3.0,0.0,2
2022,2,2.0,3.0,0.0,5.0,1.0,2
2022,3,2.0,0.0,3.0,1.0,1.0,2
2012,7,4.0,0.0,1.0,1.0,1.0,3
2012,8,2.0,6.0,1.0,1.0,2.0,3
2012,9,8.0,2.0,2.0,3.0,6.0,3
